,CODE,ESTACION,LON,LAT,ALT
92,X47E244AE,CALLANCA,-76.76952,-11.38887,2641.0
93,X47E323B2,CARAC,-76.77937,-11.19005,2646.0
94,X472364DC,CARANIA,-75.87215,-12.3444,3820.0
95,X472D73C2,CASAPALCA,-76.23333,-11.63806,4233.0
96,X4725A10C,CHAVIN,-77.17529,-9.58598,3140.0
97,X47278214,CHOSICA,-76.68973,-11.92985,867.0
98,X472BD3F4,COLLAC,-76.4705,-11.36111,4493.0
99,X47E2323E,CUCHUANCA,-76.7881,-11.20158,2310.0
100,X472A218A,EMA-ANTONIO RAIMONDI,-77.15139,-11.77606,47.0
101,X4725F170,HUAROS,-76.56667,-11.4,3585.0
102,X472CE45A,MATUCANA,-76.37792,-11.83913,2417.0
103,X472D9030,MARCAPOMACOCHA,-76.32508,-11.40443,4447.0
104,X47E8C3E8,MARCAPOMACOCHA EDEGEL,-76.33118,-11.40867,4482.6
105,X472542FE,MILLOC EDEGEL,-76.35011,-11.57056,4377.0
106,X47E9F488,OBRAJILLO,-76.62603,-11.45481,2750.0
107,X47E89394,PACHACOTO,-77.40607,-9.85243,3723.0
108,X47E31628,PALLAC EMA,-76.80799,-11.34875,2367.0
109,X47E9E7FE,PATAHUAY SAPICANCHA,-76.38294,-11.342,4550.0
110,X47E34654,PIRCA,-76.65514,-11.23284,3342.0
111,X47E22148,PUENTE CALLANTAMA,-76.65701,-11.22343,2773.0
112,X4721725E,PUENTE MAGDALENA,-76.83728,-11.6846,935.0
113,X472BE66E,PUENTE SALIDA MARCAPOMACOCHA,-76.32006,-11.41256,4435.0
114,X47259496,RECUAY,-77.45365,-9.72919,3431.0
115,X472C07A8,SAN CRISTOBAL,-76.05328,-11.73986,4680.0
116,X472EC742,SAN MATEO DE OTAO,-76.56359,-11.84696,3513.0
117,X472E24B0,SANTA EULALIA,-76.66664,-11.92,970.0
118,X47E33064,SANTA CRUZ,-76.63487,-11.19827,3583.0
119,X472CA750,SANTIAGO DE TUNA,-76.52415,-11.98311,2924.0
120,X47E214D2,SANTO DOMINGO,-77.02833,-11.37,620.0
121,X4724966C,SAYAN,-77.19833,-11.13472,647.0
122,X472CD1C0,SHEQUE,-76.5023,-11.66095,3188.0
123,X472C2144,TOROCOCHA,-76.44328,-11.368,4410.0
124,X47E257D8,VICHAYCOCHA,-76.62455,-11.13916,3533.0
125,X472A0766,VILLA MARIA DEL TRIUNFO,-76.92,-12.16639,292.0
126,X472AC278,VON HUMBOLDT,-76.93931,-12.08221,247.0
127,X4726B574,YURACMAYO EDEGEL,-76.15556,-11.84056,4320.0
128,X472A446C,BETA SANTIAGO,-75.67022,-14.23739,386.0
129,X472811E4,CHALLACA,-75.39056,-13.79194,1880.0
130,X47284198,CHALLACA GORE,-75.40066,-13.78826,1712.0
131,X4728A26A,CONTA GORE,-75.97517,-13.43936,313.0
132,X47262016,CORA CORA,-73.77917,-15.01139,3200.0
